,ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 4%,Total,Date,Time,Payment,cogs,gross margin %,gross income,Rating
0,1,Branch 4,Kolkata,Subscriber,Men,Watches,30.95,5,6.19,168.65,03-05-21,11:03,Prepaid,154.73,5,7.74,9.0
1,2,Branch 3,Ghaziabad,Non-Subscriber,Men,Men Apparel,30.17,4,4.83,131.54,03-05-21,10:39,COD,120.68,5,6.03,9.5
2,3,Branch 4,Ghaziabad,Subscriber,Men,Watches,24.72,6,5.93,161.68,03-05-21,18:00,COD,148.33,5,7.42,7.3
3,4,Branch 1,Gurgaon,Subscriber,Men,Men Footwear,30.55,7,8.55,233.08,03-05-21,15:30,COD,213.84,5,10.69,8.3
4,5,Branch 1,Ludhiana,Subscriber,Women,Bags,26.73,6,6.41,174.79,03-05-21,11:24,COD,160.36,5,8.02,5.2
5,6,Branch 4,Delhi,Subscriber,Men,Watches,34.33,6,8.24,224.54,03-05-21,10:40,COD,206.0,5,10.3,4.0
6,7,Branch 1,Bangalore,Subscriber,Men,Men Footwear,29.11,5,5.82,158.67,03-05-21,12:20,Prepaid,145.57,5,7.28,5.7
7,8,Branch 3,Vishakapatnam,Non-Subscriber,Men,Men Footwear,33.83,9,12.18,331.9,03-05-21,11:15,COD,304.5,5,15.22,7.9
8,9,Branch 1,Bangalore,Subscriber,Men,Men Footwear,34.7,1,1.39,37.82,03-05-21,17:15,COD,34.7,5,1.73,7.1
9,10,Branch 2,Bangalore,Subscriber,Unisex,Sunglasses,36.86,2,2.95,80.36,04-05-21,13:27,Prepaid,73.72,5,3.69,5.8
10,11,Branch 2,Vapi,Subscriber,Women,Women Footwear,33.83,3,4.06,110.63,05-05-21,18:07,COD,101.5,5,5.07,4.4
11,12,Branch 2,Bhubaneswar,Subscriber,Men,Men Footwear,29.34,3,3.52,95.95,06-05-21,17:03,COD,88.03,5,4.4,6.7
12,13,Branch 1,Delhi,Non-Subscriber,Women,Women Apparel,39.46,4,6.31,172.04,07-05-21,10:25,COD,157.83,5,7.89,7.0
13,14,Branch 1,Gurgaon,Non-Subscriber,Women,Women Apparel,51.68,9,18.6,506.96,08-05-21,16:48,COD,465.1,5,23.26,8.1
14,15,Branch 1,Delhi,Subscriber,Women,Women Footwear,30.13,9,10.85,295.55,09-05-21,19:21,COD,271.15,5,13.56,5.6
15,16,Branch 2,Noida,Subscriber,Men,Men Footwear,40.88,5,8.18,222.78,10-05-21,16:19,Prepaid,204.38,5,10.22,4.4
16,17,Branch 4,Delhi,Subscriber,Men,Sunglasses,38.94,6,9.35,254.67,11-05-21,11:03,COD,233.65,5,11.68,4.5
17,18,Branch 1,Hyderabad,Non-Subscriber,Men,Men Footwear,34.7,5,6.94,189.1,12-05-21,10:39,COD,173.48,5,8.67,6.8
18,19,Branch 1,Chennai,Non-Subscriber,Men,Men Footwear,30.95,2,2.48,67.46,13-05-21,18:00,COD,61.89,5,3.09,8.5
19,20,Branch 2,Hyderabad,Subscriber,Unisex,Sunglasses,22.95,1,0.92,25.01,14-05-21,15:30,COD,22.95,5,1.15,4.3
20,21,Branch 3,Vellore,Subscriber,Men,Men Footwear,32.1,4,5.14,139.97,15-05-21,11:24,COD,128.41,5,6.42,4.7
21,22,Branch 2,Baroda,Non-Subscriber,Men,Men Footwear,30.95,2,2.48,67.46,16-05-21,10:40,COD,61.89,5,3.09,5.0
22,23,Branch 2,Kolkata,Subscriber,Unisex,Sunglasses,29.19,1,1.17,31.82,17-05-21,12:20,COD,29.19,5,1.46,4.3
23,24,Branch 4,Delhi,Subscriber,Men,Watches,25.94,4,4.15,113.1,18-05-21,11:15,COD,103.76,5,5.19,9.8
24,25,Branch 1,Delhi,Subscriber,Men,Men Footwear,48.33,2,3.87,105.36,19-05-21,17:36,COD,96.66,5,4.83,5.9
25,26,Branch 1,Noida,Subscriber,Men,Men Footwear,33.66,7,9.42,256.83,20-05-21,19:20,Prepaid,235.62,5,11.78,8.4
26,27,Branch 2,Delhi,Non-Subscriber,Women,Women Apparel,41.88,1,1.68,45.65,21-05-21,15:31,Prepaid,41.88,5,2.09,6.6
27,28,Branch 1,Gurgaon,Subscriber,Women,Bags,31.7,1,1.27,34.55,22-05-21,12:17,COD,31.7,5,1.59,7.6
28,29,Branch 2,Chennai,Subscriber,Women,Bags,26.73,4,4.28,116.53,23-05-21,19:48,COD,106.91,5,5.35,9.5
29,30,Branch 1,Chennai,Subscriber,Women,Watches,29.34,8,9.39,255.87,24-05-21,15:36,COD,234.75,5,11.74,7.3
30,31,Branch 2,Dharwad,Subscriber,Women,Bags,35.34,4,5.65,154.1,25-05-21,19:39,COD,141.37,5,7.07,4.7
31,32,Branch 2,Chennai,Subscriber,Men,Men Footwear,31.7,8,10.14,276.43,26-05-21,12:43,COD,253.61,5,12.68,4.4
32,33,Branch 4,Pune,Subscriber,Men,Watches,29.34,7,8.22,223.89,27-05-21,14:49,COD,205.4,5,10.27,5.0
33,34,Branch 1,Kolkata,Non-Subscriber,Men,Men Footwear,24.68,1,0.99,26.9,28-05-21,10:12,Prepaid,24.68,5,1.23,5.0
34,35,Branch 4,Delhi,Subscriber,Men,Sunglasses,32.96,3,3.96,107.79,29-05-21,10:42,COD,98.89,5,4.94,7.4
35,36,Branch 3,Lucknow,Subscriber,Women,Bags,38.97,1,1.56,42.48,30-05-21,12:28,COD,38.97,5,1.95,6.7
36,37,Branch 1,Delhi,Subscriber,Women,Bags,32.11,4,5.14,140.01,31-05-21,19:15,COD,128.45,5,6.42,6.9
37,38,Branch 1,Gurgaon,Non-Subscriber,Unisex,Sports Equipment,27.5,8,8.8,239.8,01-06-21,17:17,COD,220.0,5,11.0,4.6
38,39,Branch 4,Noida,Subscriber,Men,Watches,30.06,7,8.42,229.36,02-06-21,13:24,COD,210.42,5,10.52,7.5
39,40,Branch 2,Hyderabad,Subscriber,Women,Sunglasses,38.29,7,10.72,292.16,03-06-21,13:01,COD,268.04,5,13.4,7.6
40,41,Branch 4,Bangalore,Subscriber,Men,Watches,24.3,1,0.97,26.48,04-06-21,18:45,COD,24.3,5,1.21,7.8
41,42,Branch 3,Bangalore,Subscriber,Unisex,Sunglasses,58.76,1,2.35,64.05,05-06-21,10:11,COD,58.76,5,2.94,6.2
42,43,Branch 2,Hyderabad,Subscriber,Men,Men Footwear,29.19,5,5.84,159.1,06-06-21,13:03,Prepaid,145.97,5,7.3,5.5
43,44,Branch 3,Surat,Subscriber,Women,Women Footwear,24.68,7,6.91,188.29,07-06-21,20:39,COD,172.74,5,8.64,7.5
44,45,Branch 3,Kolkata,Subscriber,Women,Watches,24.3,1,0.97,26.48,08-06-21,19:47,Prepaid,24.3,5,1.21,7.1
45,46,Branch 2,Dehradun,Subscriber,Unisex,Sunglasses,38.45,3,4.61,125.72,09-06-21,18:00,COD,115.34,5,5.77,9.4
46,47,Branch 2,Delhi,Subscriber,Men,Men Footwear,33.57,8,10.74,292.7,10-06-21,17:24,COD,268.53,5,13.43,8.3
47,48,Branch 2,Delhi,Subscriber,Women,Women Apparel,30.17,8,9.65,263.08,11-06-21,15:47,Prepaid,241.36,5,12.07,4.0
48,49,Branch 2,Delhi,Subscriber,Unisex,Sunglasses,37.12,5,7.42,202.29,12-06-21,12:45,Prepaid,185.59,5,9.28,8.0
49,50,Branch 3,Faridabad,Subscriber,Men,Men Footwear,26.67,9,9.6,261.66,13-06-21,17:08,COD,240.05,5,12.0,7.8
50,51,Branch 3,Hyderabad,Subscriber,Men,Men Footwear,40.88,6,9.81,267.33,14-06-21,10:19,Prepaid,245.26,5,12.26,9.4
51,52,Branch 1,Bangalore,Subscriber,Unisex,Bags,30.48,4,4.88,132.87,15-06-21,15:10,Prepaid,121.9,5,6.1,8.4
52,53,Branch 2,Bangalore,Subscriber,Men,Men Footwear,32.75,3,3.93,107.1,16-06-21,14:42,COD,98.25,5,4.91,6.4
53,54,Branch 3,Vishakapatnam,Subscriber,Unisex,Bags,29.11,1,1.16,31.73,17-06-21,15:46,COD,29.11,5,1.46,6.0
54,55,Branch 2,Pune,Non-Subscriber,Women,Jewellery,30.48,1,1.22,33.22,18-06-21,11:49,Prepaid,30.48,5,1.52,6.4
55,56,Branch 3,Kolkata,Non-Subscriber,Women,Women Apparel,32.44,7,9.08,247.52,19-06-21,19:01,COD,227.08,5,11.35,8.1
56,57,Branch 4,Delhi,Subscriber,Men,Watches,36.8,1,1.47,40.11,20-06-21,11:26,COD,36.8,5,1.84,5.7
57,58,Branch 1,Kanpur,Non-Subscriber,Men,Men Apparel,36.28,7,10.16,276.85,21-06-21,11:28,Prepaid,253.99,5,12.7,6.5
58,59,Branch 1,Delhi,Subscriber,Unisex,Furniture,39.46,9,14.21,387.09,22-06-21,15:55,Prepaid,355.13,5,17.76,5.3
59,60,Branch 3,Ludhiana,Subscriber,Unisex,Sunglasses,35.34,5,7.07,192.62,23-06-21,20:36,Prepaid,176.72,5,8.84,9.2
60,61,Branch 3,Delhi,Subscriber,Women,Women Footwear,33.83,2,2.71,73.76,24-06-21,17:47,COD,67.67,5,3.38,10.0
61,62,Branch 3,Hyderabad,Non-Subscriber,Women,Women Apparel,41.88,5,8.38,228.25,25-06-21,10:55,Prepaid,209.41,5,10.47,6.9
62,63,Branch 2,Chennai,Subscriber,Women,Women Apparel,32.99,8,10.56,287.71,26-06-21,13:40,COD,263.96,5,13.2,10.0
63,64,Branch 1,Chennai,Subscriber,Men,Men Footwear,28.03,9,10.09,275.01,27-06-21,12:27,COD,252.3,5,12.62,8.5
64,65,Branch 2,Bangalore,Subscriber,Men,Men Footwear,21.87,3,2.62,71.5,28-06-21,14:35,COD,65.6,5,3.28,7.5
65,66,Branch 1,Pune,Subscriber,Women,Bags,32.44,9,11.68,318.24,29-06-21,16:40,Prepaid,291.96,5,14.6,5.7
66,67,Branch 3,Kolkata,Non-Subscriber,Men,Men Footwear,32.99,1,1.32,35.96,30-06-21,15:43,COD,32.99,5,1.65,6.6
67,68,Branch 2,Ranchi,Subscriber,Men,Men Footwear,32.11,5,6.42,175.02,01-07-21,15:01,COD,160.57,5,8.03,9.8
68,69,Branch 1,Gurgaon,Non-Subscriber,Men,Men Footwear,37.11,9,13.36,364.06,02-07-21,10:04,COD,334.0,5,16.7,6.3
69,70,Branch 4,Delhi,Subscriber,Men,Watches,38.45,1,1.54,41.91,03-07-21,18:50,Prepaid,38.45,5,1.92,4.2
70,71,Branch 3,Ghaziabad,Non-Subscriber,Men,Men Footwear,35.03,9,12.61,343.67,04-07-21,12:46,COD,315.3,5,15.76,9.5
71,72,Branch 4,Noida,Subscriber,Men,Watches,36.86,9,13.27,361.6,05-07-21,16:19,COD,331.74,5,16.59,5.8
72,73,Branch 2,Chennai,Subscriber,Men,Men Footwear,22.95,2,1.84,50.02,06-07-21,18:17,Prepaid,45.89,5,2.29,3.9
73,74,Branch 4,Chennai,Subscriber,Men,Sunglasses,38.94,5,7.79,212.23,07-07-21,18:21,COD,194.71,5,9.74,8.6
74,75,Branch 1,Chennai,Subscriber,Women,Women Footwear,55.13,8,17.64,480.73,08-07-21,10:55,COD,441.03,5,22.05,9.3
